MONTH,AIRLINE,STATE,total_voos,total_atrasados
3,DL,UT,3169,384
3,DL,VA,1474,202
3,DL,VI,101,11
3,DL,WA,1121,167
3,DL,WI,670,63
3,DL,WV,31,8
3,DL,WY,97,4
3,EV,AL,1222,202
3,EV,AR,720,124
3,EV,AZ,77,10
3,EV,CO,1557,190
3,EV,CT,154,19
3,EV,FL,927,161
3,EV,GA,6431,1304
3,EV,IA,296,43
3,EV,IL,5174,863
3,EV,IN,687,102
3,EV,KS,221,34
3,EV,KY,823,113
3,EV,LA,2054,384
3,EV,MA,211,32
3,EV,MD,24,0
3,EV,ME,80,19
3,EV,MI,3062,476
3,EV,MN,842,152
3,EV,MO,918,149
3,EV,MS,700,111
3,EV,MT,24,1
3,EV,NC,1454,235
3,EV,ND,395,47
3,EV,NE,359,41
3,EV,NH,214,38
3,EV,NJ,2685,577
3,EV,NM,194,21
3,EV,NY,1781,398
3,EV,OH,1549,260
3,EV,OK,775,111
3,EV,PA,677,104
3,EV,RI,154,30
3,EV,SC,1043,185
3,EV,SD,252,40
3,EV,TN,1378,246
3,EV,TX,10119,1858
3,EV,UT,18,3
3,EV,VA,1647,299
3,EV,VT,141,27
3,EV,WI,823,91
3,EV,WV,193,45
3,F9,AZ,217,74
3,F9,CA,359,76
3,F9,CO,1899,428
3,F9,DE,26,12
3,F9,FL,1130,476
3,F9,GA,282,115
3,F9,IA,13,6
3,F9,IL,355,137
3,F9,IN,50,11
3,F9,KY,122,48
3,F9,LA,33,14
3,F9,MI,18,10
3,F9,MN,91,11
3,F9,MO,126,31
3,F9,MT,19,3
3,F9,NC,60,20
3,F9,ND,14,4
3,F9,NE,43,7
3,F9,NJ,229,64
3,F9,NV,284,84
3,F9,NY,87,37
3,F9,OH,267,98
3,F9,OK,5,5
3,F9,OR,58,12
3,F9,PA,190,63
3,F9,SD,17,4
3,F9,TN,48,8
3,F9,TX,298,83
3,F9,UT,123,42
3,F9,VA,264,81
3,F9,WA,55,7
3,F9,WI,107,21
3,HA,AS,9,4
3,HA,AZ,31,2
3,HA,CA,369,28
3,HA,HI,5701,379
3,HA,NV,75,12
3,HA,NY,22,2
3,HA,OR,31,4
3,HA,WA,62,4
3,MQ,AL,283,73
3,MQ,AR,802,206
3,MQ,CA,29,4
3,MQ,CO,173,52
3,MQ,CT,25,3
3,MQ,FL,1018,197
3,MQ,GA,199,63
